created_at,entry_id,field1,field2,field3,field4,field5
2024-12-30 12:55:46 UTC,1,33,32.25806,26.31000,70.46875,1011.71014
2024-12-30 12:56:03 UTC,2,66,64.51613,26.69000,69.85742,1011.76331
2024-12-30 12:56:19 UTC,3,65,63.53861,26.73000,69.71387,1011.75531
2024-12-30 12:56:35 UTC,4,64,62.56110,26.74000,69.65039,1011.78003
2024-12-30 12:56:52 UTC,5,61,59.62854,26.74000,69.61426,1011.80078
2024-12-30 12:57:09 UTC,6,61,59.62854,26.75000,69.56055,1011.80029
2024-12-30 12:57:25 UTC,7,60,58.65103,26.78000,69.48535,1011.82422
2024-12-30 12:57:41 UTC,8,58,56.69599,26.78000,69.46289,1011.81714
2024-12-30 12:57:58 UTC,9,57,55.71848,26.75000,69.53613,1011.81580
2024-12-30 12:58:14 UTC,10,57,55.71848,26.76000,69.53809,1011.82813
2024-12-30 12:58:30 UTC,11,57,55.71848,26.73000,69.63574,1011.82056
2024-12-30 12:58:47 UTC,12,56,54.74096,26.78000,69.57422,1011.83081
2024-12-30 12:59:03 UTC,13,52,50.83089,26.75000,69.62695,1011.81219
2024-12-30 12:59:20 UTC,14,51,49.85337,26.69000,69.81152,1011.83508
2024-12-30 12:59:36 UTC,15,51,49.85337,26.68000,69.90137,1011.80878
2024-12-30 12:59:52 UTC,16,51,49.85337,26.70000,69.84766,1011.81830
2024-12-30 13:00:10 UTC,17,52,50.83089,26.70000,69.84766,1011.82123
2024-12-30 13:00:26 UTC,18,44,43.01075,26.71000,69.79199,1011.83362
2024-12-30 13:00:42 UTC,19,51,49.85337,26.70000,69.81348,1011.81763
2024-12-30 13:00:59 UTC,20,78,76.24634,26.59000,70.44336,1011.84125
2024-12-30 13:01:15 UTC,21,57,55.71848,26.71000,69.91602,1011.87048
2024-12-30 13:01:31 UTC,22,62,60.60606,26.79000,69.66797,1011.86157
2024-12-30 13:01:48 UTC,23,60,58.65103,26.93000,69.29199,1011.91455
2024-12-30 13:02:04 UTC,24,60,58.65103,26.94000,69.11133,1011.86865
2024-12-30 13:02:20 UTC,25,60,58.65103,26.95000,69.04492,1011.90955
2024-12-30 13:02:37 UTC,26,57,55.71848,26.97000,68.96777,1011.89893
2024-12-30 13:02:53 UTC,27,58,56.69599,26.99000,68.87988,1011.89343
2024-12-30 13:03:10 UTC,28,57,55.71848,27.01000,68.81543,1011.88538
2024-12-30 13:03:26 UTC,29,57,55.71848,27.03000,68.75977,1011.92889
2024-12-30 13:03:42 UTC,30,55,53.76344,27.08000,68.60938,1011.87982
2024-12-30 13:03:59 UTC,31,54,52.78592,27.14000,68.43750,1011.88000
2024-12-30 13:04:15 UTC,32,56,54.74096,27.19000,68.25098,1011.89172
2024-12-30 13:04:32 UTC,33,57,55.71848,27.21000,68.17383,1011.86780
2024-12-30 13:04:48 UTC,34,55,53.76344,27.21000,68.10547,1011.90295
2024-12-30 13:05:04 UTC,35,54,52.78592,27.17000,68.19141,1011.92377
2024-12-30 13:05:20 UTC,36,53,51.80841,27.12000,68.38770,1011.89850
2024-12-30 13:05:37 UTC,37,56,54.74096,27.12000,68.40039,1011.92419
