created_at,entry_id,field1,field2,field3,field4,field5
2024-12-30 13:29:37 UTC,1,31,30.30303,26.76000,69.09473,1012.31812
2024-12-30 13:29:53 UTC,2,67,65.49364,27.11000,68.56836,1012.35327
2024-12-30 13:30:09 UTC,3,60,58.65103,27.13000,68.43555,1012.33478
2024-12-30 13:30:26 UTC,4,62,60.60606,27.17000,68.32715,1012.37561
2024-12-30 13:30:45 UTC,5,61,59.62854,27.17000,68.25879,1012.34576
2024-12-30 13:31:02 UTC,6,60,58.65103,27.16000,68.27930,1012.39825
2024-12-30 13:31:18 UTC,7,58,56.69599,27.13000,68.37891,1012.39655
2024-12-30 13:31:34 UTC,8,56,54.74096,27.12000,68.38867,1012.37531
2024-12-30 13:31:51 UTC,9,56,54.74096,27.12000,68.37793,1012.38959
2024-12-30 13:32:07 UTC,10,57,55.71848,27.13000,68.36719,1012.41748
2024-12-30 13:32:23 UTC,11,56,54.74096,27.08000,68.49512,1012.42596
2024-12-30 13:32:39 UTC,12,56,54.74096,27.09000,68.52930,1012.40326
2024-12-30 13:32:56 UTC,13,55,53.76344,27.09000,68.51953,1012.43237
2024-12-30 13:33:12 UTC,14,55,53.76344,27.09000,68.50977,1012.39600
2024-12-30 13:33:29 UTC,15,54,52.78592,27.07000,68.57520,1012.41827
2024-12-30 13:33:45 UTC,16,55,53.76344,27.05000,68.63965,1012.41846
2024-12-30 13:34:03 UTC,17,55,53.76344,27.03000,68.67090,1012.40643
2024-12-30 13:34:19 UTC,18,52,50.83089,27.02000,68.74902,1012.44873
2024-12-30 13:34:35 UTC,19,52,50.83089,27.01000,68.81445,1012.39709
2024-12-30 13:34:52 UTC,20,51,49.85337,27.00000,68.80273,1012.41846
2024-12-30 13:35:08 UTC,21,51,49.85337,27.02000,68.78125,1012.38654
2024-12-30 13:35:25 UTC,22,52,50.83089,27.01000,68.78125,1012.40710
2024-12-30 13:35:41 UTC,23,52,50.83089,27.01000,68.79297,1012.39111
2024-12-30 13:35:58 UTC,24,51,49.85337,27.02000,68.74902,1012.40070
2024-12-30 13:36:14 UTC,25,51,49.85337,27.03000,68.71484,1012.40295
2024-12-30 13:36:30 UTC,26,51,49.85337,27.01000,68.78125,1012.39764
2024-12-30 13:36:46 UTC,27,46,44.96579,27.01000,68.79297,1012.40479
2024-12-30 13:37:03 UTC,28,51,49.85337,27.01000,68.78125,1012.40765
2024-12-30 13:37:19 UTC,29,50,48.87585,27.02000,68.78125,1012.39722
2024-12-30 13:37:35 UTC,30,50,48.87585,27.03000,68.72754,1012.39514
2024-12-30 13:37:52 UTC,31,51,49.85337,27.05000,68.67480,1012.38922
2024-12-30 13:38:08 UTC,32,50,48.87585,27.05000,68.68359,1012.41968
2024-12-30 13:38:26 UTC,33,50,48.87585,27.05000,68.65039,1012.40289
2024-12-30 13:38:42 UTC,34,49,47.89834,27.04000,68.66016,1012.39764
2024-12-30 13:38:58 UTC,35,50,48.87585,27.05000,68.62793,1012.38507
2024-12-30 13:39:15 UTC,36,50,48.87585,27.05000,68.77734,1012.42126
2024-12-30 13:39:32 UTC,37,50,48.87585,27.07000,68.76563,1012.43127
2024-12-30 13:39:48 UTC,38,50,48.87585,27.07000,68.80078,1012.44568
2024-12-30 13:40:05 UTC,39,50,48.87585,27.08000,68.82520,1012.43671
2024-12-30 13:40:21 UTC,40,49,47.89834,27.09000,68.76953,1012.47876
2024-12-30 13:40:38 UTC,41,50,48.87585,27.10000,68.73828,1012.45319
2024-12-30 13:40:55 UTC,42,50,48.87585,27.08000,68.78027,1012.49005
2024-12-30 13:41:11 UTC,43,49,47.89834,27.10000,68.68066,1012.46405
2024-12-30 13:41:27 UTC,44,50,48.87585,27.09000,68.73535,1012.45782
2024-12-30 13:41:43 UTC,45,49,47.89834,27.11000,68.68164,1012.46503
